phylum,class,genus,species,form,sample,img_path
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_atypical2_0_247.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_atypical2_1_247.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_atypical2_2_247.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_atypical2_3_247.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_atypical2_4_247.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium knowlesi,trophozoites,blood,./train/Plasmodium knowlesi/Pk_troph_thin_NY1_0_64.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium knowlesi,trophozoites,blood,./train/Plasmodium knowlesi/Pk_troph_thin_NY1_1_64.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium knowlesi,trophozoites,blood,./train/Plasmodium knowlesi/Pk_troph_thin_NY1_2_64.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium knowlesi,trophozoites,blood,./train/Plasmodium knowlesi/Pk_troph_thin_NY1_3_64.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium knowlesi,trophozoites,blood,./train/Plasmodium knowlesi/Pk_troph_thin_NY1_4_64.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg4_0_245.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg4_1_245.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg4_2_245.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg4_3_245.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg4_4_245.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Cparvum_trichrome1_BAM_0_143.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Cparvum_trichrome1_BAM_1_143.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Cparvum_trichrome1_BAM_2_143.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Cparvum_trichrome1_BAM_3_143.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Cparvum_trichrome1_BAM_4_143.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,gametocyte,blood,./train/Plasmodium ovale/Po_gametocyte_thickA_0_90.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,gametocyte,blood,./train/Plasmodium ovale/Po_gametocyte_thickA_1_90.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,gametocyte,blood,./train/Plasmodium ovale/Po_gametocyte_thickA_2_90.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,gametocyte,blood,./train/Plasmodium ovale/Po_gametocyte_thickA_3_90.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,gametocyte,blood,./train/Plasmodium ovale/Po_gametocyte_thickA_4_90.jpg
